Cows' milk;1 q 0.2.;976;660;32;40;36;0;48;Dairy products;1
Milk skim;1 q 0.2.;984;360;36;0.2;0.2;0;52;Dairy products;2
Buttermilk;1 cup;246;127;9;5;4;0;13;Dairy products;3
Evaporated  undiluted;1 cup;252;345;16;20;18;0;24;Dairy products;4
Fortified milk;6 cups;1419;1.373;89;42;23;1.4;119;Dairy products;5
Powdered milk;1 cup;103;515;27;28;24;0;39;Dairy products;6
skim  instant;1 1/3 cups;85;290;30;0.2;0.2;0;42;Dairy products;7
skim  non-instant;2/3 cup;85;290;30;0.2;0.2;1;42;Dairy products;8
Goats' milk;1 cup;244;165;8;10;8;0;11;Dairy products;9
(1/2 cup ice cream);2 cups;540;690;24;24;22;0;70;Dairy products;10
Cocoa;1 cup;252;235;8;11;10;0;26;Dairy products;11
skim. milk;1 cup;250;128;18;4;3;1;13;Dairy products;12
(cornstarch);1 cup;248;275;9;10;9;0;40;Dairy products;13
Custard;1 cup;248;285;13;14;11;0;28;Dairy products;14
Ice cream;1 cup;188;300;6;18;16;0;29;Dairy products;15
Ice milk;1 cup;190;275;9;10;9;0;32;Dairy products;16
Cream or half-and-half;1/2 cup;120;170;4;15;13;0;5;Dairy products;17
or whipping;1/2 cup;119;430;2;44;27;1;3;Dairy products;18
Cheese;1 cup;225;240;30;11;10;0;6;Dairy products;19
uncreamed;1 cup;225;195;38;0.2;0.2;0;6;Dairy products;20
Cheddar;1-in. cube;17;70;4;6;5;0;0.2;Dairy products;21
Cheddar  grated cup;1/2 cup;56;226;14;19;17;0;1;Dairy products;22
Cream cheese;1 oz.;28;105;2;11;10;0;1;Dairy products;23
Processed cheese;1 oz.;28;105;7;9;8;0;0.2;Dairy products;24
Roquefort type;1 oz.;28;105;6;9;8;0;0.2;Dairy products;25
Swiss;1 oz.;28;105;7;8;7;0;0.2;Dairy products;26
Eggs raw;2;100;150;12;12;10;0;0.2;Dairy products;27
Eggs Scrambled or fried;2;128;220;13;16;14;0;1;Dairy products;28
Yolks;2;34;120;6;10;8;0;0.2;Fats  Oils  Shortenings;29
Butter;1 0.2.;14;100;0.2;11;10;0;0.2;Fats  Oils  Shortenings;30
Butter;1/2 cup;112;113;114;115;116;117;118;Fats  Oils  Shortenings;31
Butter;1/4Â lb.;112;113;114;115;116;117;118;Fats  Oils  Shortenings;32
Hydrogenated cooking fat;1/2 cup;100;665;0;100;88;0;0;Fats  Oils  Shortenings;33
Lard;1/2 cup;110;992;0;110;92;0;0;Fats  Oils  Shortenings;34
Margarine;1/2 cup;112;806;0.2;91;76;0;0.2;Fats  Oils  Shortenings;35
Margarine  2 pat or;1  0.2.;14;100;0.2;11;9;0;0.2;Fats  Oils  Shortenings;36
Mayonnaise;1  0.2.;15;110;0.2;12;5;0;0.2;Fats  Oils  Shortenings;37
Corn oil;1  0.2.;14;125;0;14;5;0;0;Fats  Oils  Shortenings;38
Olive oil;1 0.2.;14;125;0;14;3;0;0;Fats  Oils  Shortenings;39
Safflower seed oil;1  0.2.;14;125;0;14;3;0;0;Fats  Oils  Shortenings;40
French dressing;1  0.2.;15;60;0.2;6;2;0;2;Fats  Oils  Shortenings;41
Thousand Island sauce;1  0.2.;15;75;0.2;8;3;0;1;Fats  Oils  Shortenings;42
Salt pork;2 oz.;60;470;3;55;;0;0;Meat  Poultry;43
Bacon;2 slices;16;95;4;8;7;0;1;Meat  Poultry;44
Beef;3 oz.;85;245;23;16;15;0;0;Meat  Poultry;45
Hamburger;3 oz.;85;245;21;17;15;0;0;Meat  Poultry;46
Ground lean;3 oz.;85;185;24;10;9;0;0;Meat  Poultry;47
Roast beef;3 oz.;85;390;16;36;35;0;0;Meat  Poultry;48
Steak;3 oz.;85;330;20;27;25;0;0;Meat  Poultry;49
Steak  lean  as round;3 oz.;85;220;24;12;11;0;0;Meat  Poultry;50
Corned beef;3 oz.;85;185;22;10;9;0;0;Meat  Poultry;51
Corned beef hash canned;3 oz.;85;120;12;8;7;0.2;6;Meat  Poultry;52
Corned beef hash Dried;2 oz.;56;115;19;4;4;0;0;Meat  Poultry;53
Pot-pie;1 pie;227;480;18;28;25;0.2;32;Meat  Poultry;54
Corned beef hash Stew;1 cup;235;185;15;10;9;0.2;15;Meat  Poultry;55
chicken;3 oz.;85;185;23;9;7;0;0;Meat  Poultry;56
Fried  breast or leg and thigh chicken;3 oz.;85;245;25;15;11;0;0;Meat  Poultry;57
Roasted chicken;3 1/2 oz.;100;290;25;20;16;0;0;Meat  Poultry;58
Chicken livers  fried;3 med.;100;140;22;14;12;0;2.3;Meat  Poultry;59
Duck  domestic;3 1/2 oz.;100;370;16;28;0;0;0;Meat  Poultry;60
Lamb  chop  broiled;4 oz.;115;480;24;35;33;0;0;Meat  Poultry;61
